ID,Feature_ID,Kindom,Phylum,Class,Order,Family,Genus,Species,Confidence,frequency,niche_width,Taxa,Group,Partition,Function,Process,MRA
ASV32,0d304d624217de6c67a424a0e30b0ad2,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Nitrosomonas,midas_s_139,0.824866734,0.439291737,198.457413,core,abundant,below,Nitrifiers/DNRA/Sugars/Lipids,N_remove,0.00308127
ASV33,868e0165fe32a8925b7f20afa5e1dbfc,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Unknown,Unknown,0.999986542,0.73777403,389.4800024,core,abundant,below,Unassigned,Unassigned,0.003177723
ASV34,cbfa24bc70cb2946fa0c10191ff33cf8,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_17,midas_s_11032,0.72433208,0.297639123,145.6630991,core,abundant,below,Unassigned,Unassigned,0.003049964
ASV35,b7cc218ca1bf93e7cf985ec718297e8f,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_27875,midas_s_27875,0.767769714,0.178752108,46.28054414,others,abundant,below,Unassigned,Unassigned,0.002834443
ASV36,41c215d58deb3dae780eee8dc22ab129,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,midas_s_8233,0.906522871,0.42158516,104.7506996,core,abundant,below,Denitrifiers/Proteins,N_remove,0.003294658
ASV37,d17d4e52392e61bf7543955737ee5b3d,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_142,Unknown,0.999957205,0.573355818,158.7549666,core,abundant,below,Unassigned,Unassigned,0.002819796
ASV38,a2f21cd05cbf503426f5e24ab1aa0d65,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Azospira,midas_s_1294,0.936415769,0.570826307,241.3222614,core,abundant,below,Denitrifiers/Lipids,N_remove,0.002986185
ASV39,095dcca0a1cacb655451100eb59c8ef1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Agitococcus_lubricus_group,Unknown,0.998282789,0.465430017,104.3726773,core,abundant,below,Unassigned,Unassigned,0.002962645
ASV40,b66772dfb431b48b579915617caf0ad6,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,midas_s_2203,0.994135383,0.296795953,96.83019255,core,abundant,below,Denitrifiers/Proteins,N_remove,0.00268423
ASV41,2f23ae1dded4bbb8bd07cfc7f6427336,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Chitinimonadaceae,Chitinivorax,Unknown,0.999997351,0.714165261,246.0836846,core,abundant,neutral,Sugars/Proteins,C_cycle,0.002716462
ASV42,5ec4013197d1cc4ce7bf13be6fcf1b81,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,OLB8,midas_s_3279,0.999955932,0.033726813,17.65642185,others,abundant,below,Unassigned,Unassigned,0.002506736
ASV43,e51072f054476c7d775a498ebc7dfcb7,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Ca_Epiflobacter,Unknown,0.995221171,0.44772344,139.3269224,core,abundant,below,Proteins,C_cycle,0.002720767
ASV44,80f6c62af8a91fce6b60c53a999bdd7d,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,midas_g_59,Unknown,0.994136856,0.792580101,516.3616578,core,abundant,above,Unassigned,Unassigned,0.002654534
ASV45,99ebc3fd7be0a94952e00751f9337419,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Thauera,Unknown,0.996671327,0.392074199,32.48460622,core,abundant,below,Denitrifiers/DNRA/Sugars/Lipids/Proteins,N_remove,0.002335719
ASV46,2e2858610adc6f89731e6dc06ce65791,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_17,Unknown,0.998865234,0.28920742,165.4984359,core,abundant,below,Unassigned,Unassigned,0.00250235
ASV47,6adf93c457bcd41544637cbfe1a50090,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Ahniella,Unknown,0.999948179,0.692242833,366.55033,core,abundant,neutral,Unassigned,Unassigned,0.002464324
ASV48,149550abac2acbfef6d5ae32d4103fcd,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_20,midas_s_68,0.950038648,0.456998314,119.0409494,core,abundant,below,Unassigned,Unassigned,0.002463157
ASV49,27518aae25a73e7002abaaa18867bac9,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Unknown,Unknown,0.999986757,0.311973019,126.3135722,core,abundant,below,Unassigned,Unassigned,0.002546894
ASV50,48cfa59632961313466dfcfd6a0e4bd0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Halomonas,midas_s_11904,0.891218447,0.590219224,128.9043764,core,abundant,below,Fermenter/Sugars,C_cycle,0.002365979
ASV51,21823049adacccbea93a6988239a88e1,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,OLB12,Unknown,0.993453328,0.493254637,230.4475296,core,abundant,below,Unassigned,Unassigned,0.002328074
ASV52,1a226ce3860520d178a1fef1d5ef6ed4,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,Unknown,0.975424851,0.325463744,51.02077466,core,abundant,below,Denitrifiers/DNRA/Sugars/Lipids/Proteins,N_remove,0.002216813
ASV53,8421996edb409be2efcdfeae6fc6cda2,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Zoogloea,Unknown,0.999647721,0.460370995,177.8104137,core,abundant,below,Denitrifiers/Fermenter/Sugars/Lipids/Proteins,N_remove,0.002298136
ASV54,0fb538dc7ae93db1aad8af6b841e0274,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Unknown,Unknown,0.999993853,0.172849916,28.66254641,others,abundant,below,Unassigned,Unassigned,0.001960932
ASV55,7af6ae689696e9ea838fbb88ee9afb78,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,Unknown,0.961957124,0.846543002,527.9996913,core,abundant,above,Denitrifiers/PAOs/GAOs/SRB/Lipids/Proteins,N_P_S_remove,0.002232023
ASV56,cca86021283b2aebb0d971d38a44bc99,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Spongiibacteraceae,BD1-7_clade,midas_s_263,0.998729379,0.529510961,299.402926,core,abundant,below,Unassigned,Unassigned,0.002070785
ASV57,6ea71d63a737795bc11adfe105e5d815,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_2003,Unknown,0.999984007,0.139966273,38.17839846,others,abundant,below,Unassigned,Unassigned,0.002205224
ASV58,ac8ef36c8cdc2b87bf3d486a0c629706,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,JGI_0001001-H03,midas_s_170,0.904285438,0.688026981,362.0778333,core,abundant,above,Unassigned,Unassigned,0.001899809
ASV59,c834e02be94ea60ec2900976677cc474,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,OLB8,midas_s_8982,0.998879726,0.231871838,67.64889301,core,abundant,below,Unassigned,Unassigned,0.001855948
ASV60,50997d1e6c398e7abaceb666004a2456,Bacteria,Acidobacteriota,Holophagae,Holophagales,Holophagaceae,Geothrix,Unknown,0.998367384,0.310286678,79.88881553,core,abundant,below,DNRA/Fermenter/Lipids,N_remove,0.002146153
ASV61,24743feeecdab3f091a06539f2b11dcf,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,Unknown,0.939142225,0.218381113,73.46563316,core,abundant,below,Denitrifiers/PAOs/GAOs/SRB/Lipids/Proteins,N_P_S_remove,0.001988496
ASV62,c810fd2451d1d96abe0584945a56bf8f,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,OLB12,Unknown,0.99993642,0.291736931,182.1433966,core,abundant,below,Unassigned,Unassigned,0.002036421
ASV63,107273e73071282e4d0f4a0b46548da5,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Aeromonadaceae,Aeromonas,Unknown,0.99958122,0.892074199,464.626306,core,abundant,above,Fermenter/Sugars/Lipids,C_cycle,0.001884156
ASV64,f672aa3aea2d03f0b297739022e9b716,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,midas_g_81,midas_s_202,0.789411135,0.506745363,283.1493302,core,abundant,below,Unassigned,Unassigned,0.001996262
ASV65,7a26c242342e9fbafb3dcd51e2a56911,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Thiothrix,midas_s_6986,0.765801997,0.05311973,9.574948692,others,abundant,below,Denitrifiers/Filamentous/Lipids/Proteins,N_remove,0.001850959
ASV66,de28f82e4c6b0983fffef3e92cc55731,Bacteria,Proteobacteria,Gammaproteobacteria,Competibacterales,Competibacteraceae,Plasticicumulans,midas_s_11214,0.988002624,0.1846543,80.48510314,others,abundant,below,Sugars/Lipids,C_cycle,0.001700022
ASV67,5e881daab846993e2a1262bd76e598f2,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,midas_f_536,midas_g_536,midas_s_1785,0.889813585,0.381956155,204.0690697,core,abundant,below,Unassigned,Unassigned,0.001860294
ASV68,69346761032b8631fd4776b05a1911dd,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,B1-7BS,Ca_Methylophosphatis,Unknown,0.921045413,0.423271501,107.2139268,core,abundant,below,Unassigned,Unassigned,0.001806696
ASV69,ce13c9937bcc31fbb83e7c674ebbc49c,Bacteria,Spirochaetota,Leptospirae,Leptospirales,Leptospiraceae,Turneriella,Unknown,0.985596641,0.622259696,290.4986403,core,abundant,above,Unassigned,Unassigned,0.001802712
ASV70,d91d91ddd239d382e64507aae73eba4b,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,Unknown,0.920480563,0.205733558,108.6367276,core,abundant,below,Denitrifiers/PAOs/GAOs/SRB/Lipids/Proteins,N_P_S_remove,0.00158027
ASV71,e335f74033bc634af43ee6baa84fa247,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Romboutsia,Unknown,0.999980245,0.982293423,664.0448421,core,abundant,above,Acetogen/Fermenter/Sugars/Proteins,C_cycle,0.001765451
ASV72,8375b47f50ee3b002fe82bfe00409092,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_17,midas_s_17,0.83517445,0.21163575,94.60238699,core,abundant,below,Unassigned,Unassigned,0.00167942
ASV73,69179c4a6011d0c9d30036cf18626520,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Unknown,0.999994516,0.712478921,195.0207523,core,abundant,above,Denitrifiers/Filamentous/Sugars/Lipids/Proteins,N_remove,0.001767825
ASV74,acc9603a819dc23a606ac6c1b9105b6d,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,Unknown,0.798657625,0.422428331,172.7191943,core,abundant,below,Denitrifiers/PAOs/GAOs/SRB/Lipids/Proteins,N_P_S_remove,0.00181245
ASV75,1aad9c2d080f1285de75d84d1b96f65b,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,Unknown,0.955432541,0.292580101,152.4904283,core,abundant,below,Denitrifiers/PAOs/GAOs/SRB/Lipids/Proteins,N_P_S_remove,0.001705575
ASV76,d7cce7a01a01d4fe7e941c4699231a10,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,midas_f_108,midas_g_558,midas_s_10362,0.885691292,0.18549747,48.98301488,others,abundant,below,Unassigned,Unassigned,0.00172658
ASV77,b5ad094db2031c2f813c4b9487ea1bed,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Ferruginibacter,midas_s_5352,0.92277056,0.412310287,268.5097445,core,abundant,below,Sugars/Lipids/Proteins,C_cycle,0.001495285
ASV78,c619014dce44f401c196cf7f60af4e54,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,midas_f_108,midas_g_108,midas_s_108,0.957204074,0.390387858,191.3140956,core,abundant,below,Unassigned,Unassigned,0.00158184
ASV79,d3b3be305047d5f15ae23ce7a43bfc82,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,Unknown,0.778951992,0.272344013,144.5006623,core,abundant,below,Denitrifiers/PAOs/GAOs/SRB/Lipids/Proteins,N_P_S_remove,0.001734668
ASV80,0e274ec0a51227998286650629922662,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,Unknown,0.943633296,0.282462057,160.22239,core,abundant,below,Denitrifiers/PAOs/GAOs/SRB/Lipids/Proteins,N_P_S_remove,0.001527195
ASV81,3ebe761bfb1238c87195d431f41bf976,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Unknown,0.999993066,0.519392917,195.2165185,core,abundant,neutral,Denitrifiers/Filamentous/Sugars/Lipids/Proteins,N_remove,0.001601154
ASV82,fdb9fda717283a23be1ed151b6a718c3,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Ahniella,midas_s_3304,0.999772818,0.265598651,102.9702959,core,abundant,below,Unassigned,Unassigned,0.001586145
ASV83,c1d8a1d17ccbf94573a0823c2580bcce,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Thiolamprovum,Thiolamprovum_pedioforme,0.999866345,0.006745363,7.002737991,others,abundant,below,Unassigned,Unassigned,0.002187157
ASV84,2a29b04490b167eea05afea58d2dfc40,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Uliginosibacterium,midas_s_53,0.890264379,0.532040472,259.642327,core,abundant,neutral,Sugars/Proteins,C_cycle,0.001651413
ASV85,091126efa2a5f6896c1a128c49160228,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Hydrogenophilaceae,Unknown,Unknown,0.999783152,0.436762226,193.0016519,core,abundant,below,Unassigned,Unassigned,0.001479713
ASV86,5a29a7c87cf439999b4e4cfea431fe0c,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Ca_Accumulibacter,Unknown,0.986326041,0.193086003,118.0380547,others,abundant,below,Denitrifiers/PAOs/SRB/Proteins,N_P_S_remove,0.001381248
ASV87,4be33645dd9f084ae764b704fa796e19,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Fluviicoccus,Unknown,0.950512562,0.561551433,375.1729185,core,abundant,above,Unassigned,Unassigned,0.001559185
ASV88,a0c0585d05222fc90804b5ef26e64aee,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,midas_g_98,Unknown,0.999988731,0.3153457,151.0938294,core,abundant,below,Unassigned,Unassigned,0.001383219
ASV89,9dc03fb79baa32e610c088586793edb5,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Terrimonas,Unknown,0.890235177,0.505059022,254.5668217,core,abundant,neutral,Denitrifiers/Sugars/Lipids/Proteins,N_remove,0.00152635
ASV90,3aa615a830a3456716329647b0418986,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,midas_g_4871,Unknown,0.999999017,0.612141653,383.470589,core,abundant,above,Unassigned,Unassigned,0.001362496
ASV91,66950cf19482c3f3ee1b7971a304e6c4,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Lautropia,midas_s_135,0.761289561,0.694772344,394.8586982,core,abundant,above,Denitrifiers/SOB/Fermenter/Sugars,N_S_remove,0.00133795
ASV92,b73cb42e006377b6fde3161fcec1d0f9,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,midas_g_94,Unknown,0.814690504,0.221753794,60.50078248,core,abundant,below,Unassigned,Unassigned,0.001341331
ASV93,a4e5ee0de3048d236790152448fbad31,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Unknown,Unknown,0.999851624,0.204890388,70.30273243,core,abundant,below,Unassigned,Unassigned,0.001370946
ASV94,e05fb439ed4f9d0a183d061d3a116891,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,midas_f_11003,midas_g_11003,midas_s_11003,0.9718034,0.517706577,297.2113522,core,abundant,above,Unassigned,Unassigned,0.001346682
ASV95,5945e4143a9390000751cf8af1095be4,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_6,Unknown,0.999806352,0.095278246,36.11497104,others,abundant,below,Unassigned,Unassigned,0.001463134
ASV96,c9dac1b01afbcbb851165547387c3f11,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,midas_g_5504,Unknown,0.999999509,0.686340641,394.0140063,core,abundant,above,Unassigned,Unassigned,0.001393038
ASV97,8c2b832dd5491a40a79aea2525e54341,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halieaceae,OM60NOR5_clade,Unknown,0.999920947,0.467959528,213.8914223,core,abundant,neutral,Unassigned,Unassigned,0.001377465
ASV98,c72e361d46ffb5e85eb555e417002715,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,Hassallia,Unknown,0.998528895,0.305227656,110.9637258,core,abundant,below,Unassigned,Unassigned,0.001247976
ASV99,2da1ffca6c2b57046ba9d58302618c34,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Macellibacteroides,Unknown,0.999998901,0.930860034,222.674243,core,abundant,above,Fermenter/Sugars,C_cycle,0.001312358
ASV100,7a92c6b919b29226c967c9cb5c6dbf92,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Unknown,Unknown,0.999995488,0.520236088,139.7818426,core,abundant,neutral,Unassigned,Unassigned,0.00147243
ASV101,6048b619a52193c2677c05d236ce0245,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_788,midas_s_12734,0.990046205,0.403035413,25.08532096,core,abundant,below,Unassigned,Unassigned,0.001596446
ASV102,0117e9c502bd1cee660d22cb0e8b4a3c,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,37-13,midas_g_1159,midas_s_1159,0.997132517,0.696458685,270.6448241,core,abundant,above,Unassigned,Unassigned,0.001367607
ASV103,ea9058f1d74bb56e0ceebb07ae2221a8,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,midas_s_10622,0.945154376,0.15682968,22.15553474,others,abundant,below,Denitrifiers/Proteins,N_remove,0.001776557
ASV104,edb114398ced5bf958f4f404493a6642,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Haliscomenobacter,Unknown,0.999998862,0.583473862,349.7192682,core,abundant,above,Filamentous/Sugars,Foaming,0.001366802
